TypeId,Label,FileType,Description
238,Federal Student Loan Wizard Deductions,Excel,Add federal student loan deduction entry by start and end date
210,GL Account Descriptions,Excel,Import general ledger account descriptions
178,GL Codes,Excel,Import general ledger codes
181,Group Permissions,XML,Import Group Permissions
212,Holiday Profiles,Excel,Import Holiday Profiles
170,HR Custom Fields,Excel,Import HR custom fields
163,Incidents,Excel,Import employee incidents
166,Inventory Profile Fields,Excel,Import inventory profile fields
180,Involuntary Deductions,Excel,Add involuntary deduction entry by start and end date
272,Job Compensation,Excel 2007,Analytics Job Compensation
202,Job Requisition Custom Fields,Excel,Import Job Requisition Custom Fields
168,Jobs,Excel,Import jobs
191,Leave Case Entries,Excel,Import Leave Case Entries
190,Leave Cases,Excel,Import Leave Cases
213,Leave Cases (v2),Excel,Import Leave Cases (v2)
188,Lookup Lists,Excel,Import Lookup Lists
179,On The Fly Schedule,Excel,On the fly schedule for an employee
187,Pay Grades,Excel,Import Pay Grades
251,Payroll Expected Amounts,Excel,Import Payroll Expected Amounts
258,Payroll Expected Amounts (Columnar),Excel,Import Payroll Expected Amounts
256,Payroll Export Codes,Excel,Create or Update Payroll Export Codes
203,Performance Review,Excel,Import performance review
169,Performance Review Competencies,Excel,Import performance review competencies
161,Points,Excel,Import Employee Point History
269,Pro Notification Settings,Excel,Import Pro Notification Settings
208,Punch Code Lookup Tables,Excel,Import Punch Code Lookup Tables
113,Rate Table,Excel,"Monetary rate assigned to an individual or a group based on specified criteria (Example: shift, cost center, project)"
119,Raw Time Punches,Excel,Import Raw Time Punches
111,Schedule Daily Rules,Excel,"Specific predefined work times, (Example: 8:00 - 5:30; 8:00 - 10:00 in time, 8 hours per day)"
124,Scheduled Deduction,Excel,Add deduction entry by start and end date
123,Scheduled Earning,Excel,Add earning entry by start and end date
115,Skills,Excel,Import Skills
239,State Levy Wizard Deductions,Excel,Add state levy deduction entry by start and end date
240,State Student Loan Wizard Deductions,Excel,Add state student loan deduction entry by start and end date
226,Succession Plans,Excel,Import employee succession plans
207,Telephony Phones,Excel,Import A-Telephony Phones
172,Termination Details,Excel,Import termination details
171,Termination Reasons,Excel,Import termination reasons
117,Time Adjustments,Excel,Import Time Adjustments
116,Time Entries,Excel,Import Time Entries
108,Time Off Categories,Excel,"Specific buckets used to apply time off against, (Example: sick, personal, vacation, jury duty)"
120,Time Off Requests,Excel,Import Time Off Requests
109,Time Off Taken,Excel,Hours already taken (or scheduled out) per employee
154,Training/Certifications,Excel,Import employee training/certification
189,Vehicles,Excel,Import Vehicles
177,Vendor PR,Excel,Import vendors
112,Work Schedule Cycle,Excel,Recurring work schedule cycles (Daily rules assigned to work days)
222,Work Schedule Cycle (XLSX),Excel 2007,Recurring work schedule cycles (Daily rules assigned to work days) (XLSX Format)
246,Workday Breakdown Templates,Excel,Create or Update Workday Breakdown Templates
167,Workers Claims,Excel,Import workers claims
